,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
551,3.69183,2269113070966,0.56578,0.25583
552,3.69934,2269113146020,0.56577,0.25573
553,3.70512,2269113203876,0.56601,0.25484
554,3.71176,2269113270342,0.56529,0.25452
555,3.71944,2269113346999,0.56461,0.25421
556,3.72455,2269113398072,0.56478,0.254
557,3.73236,2269113476273,0.56486,0.25388
558,3.73898,2269113542494,0.56497,0.25412
559,3.7442,2269113594671,0.56541,0.25471
560,3.75079,2269113660637,0.56574,0.25554
561,3.75774,2269113730029,0.56606,0.2566
562,3.76526,2269113805177,0.56583,0.25727
563,3.77095,2269113862115,0.56592,0.25731
564,3.77919,2269113944483,0.56598,0.257
565,3.78462,2269113998927,0.56565,0.2561
566,3.79115,2269114064212,0.56543,0.25563
567,3.79965,2269114149109,0.56536,0.25595
568,3.8055,2269114207592,0.56523,0.25468
569,3.81165,2269114269164,0.56558,0.25497
570,3.81825,2269114335147,0.56591,0.2554
571,3.82553,2269114407992,0.56538,0.25587
572,3.8322,2269114474704,0.56561,0.25617
573,3.83894,2269114542066,0.56583,0.25627
574,3.84511,2269114603679,0.5656,0.25643
575,3.85136,2269114666245,0.56553,0.25725
576,3.85802,2269114732831,0.56547,0.25821
577,3.86482,2269114800831,0.56573,0.2591
578,3.87164,2269114869053,0.56636,0.26033
579,3.87975,2269114950160,0.56699,0.26175
580,3.88498,2269115002395,0.56726,0.26267
581,3.89267,2269115079283,0.57779,0.29029
582,3.89951,2269115147648,0.57409,0.30189
583,3.90601,2269115212722,0.56884,0.30278
584,3.91162,2269115268898,0.57122,0.28827
585,3.91998,2269115352471,0.57255,0.27787
586,3.92648,2269115417482,0.57261,0.28078
587,3.9319,2269115471634,0.57383,0.28352
588,3.93909,2269115543516,0.57474,0.28558
589,3.94595,2269115612132,0.57517,0.28107
590,3.95244,2269115677015,0.57539,0.28099
591,3.9585,2269115737682,0.57558,0.28093
592,3.96529,2269115805550,0.58196,0.28513
593,3.97189,2269115871582,0.58686,0.28871
594,3.97865,2269115939205,0.5911,0.2921
595,3.98572,2269116009835,0.5944,0.29353
596,3.99301,2269116082848,0.59693,0.29783
597,3.99873,2269116140065,0.59917,0.30162
598,4.00671,2269116219826,0.60213,0.30379
599,4.01219,2269116274648,0.60349,0.30543
600,4.0192,2269116344614,0.60469,0.30667
601,4.026,2269116412607,0.62998,0.32628
602,4.03236,2269116476357,0.62902,0.30535
603,4.03912,2269116543861,0.62914,0.3006
604,4.04587,2269116611269,0.63194,0.30149
605,4.05223,2269116674972,0.63105,0.29673
606,4.05913,2269116743954,0.63042,0.29432
607,4.06604,2269116813104,0.63129,0.29649
608,4.0731,2269116883638,0.62994,0.29567
609,4.07938,2269116946409,0.62876,0.29378
